name,optout,instruction,complete
CaliforniaLicensing.org,,,FALSE
CaliforniaNursing.org,,,FALSE
CaliforniaPharmacists.org,,,FALSE
callernear.com,removephonenumber@yeah.net,Email removephonenumber@yeah.net with “removal” as the subject and include the phone number you want removed.,FALSE
callercenter.com,https://www.callercenter.com/contact-us,Use contact-us form to request removal of my phone number. Enter information as it appears in your listing.,FALSE
callersmart.com,feedback@callersmart.com,Email feedback@callersmart.com with “Removal” as the subject. Enter information as it appears in your listing.,FALSE
calltruth.com,https://www.calltruth.com/opt_out.php,Use the opt out form to complete the removal process.,FALSE
CatalogChoice.org,,,FALSE
cellrevealer.com,https://cellrevealer.com/Unsubscribe,Use the online form to complete the removal process.  ,FALSE
centeda.com,support@centeda.com,"Email support@centeda.com with a generic opt-out form, with information as it appears in your listing. Send link of your information.",FALSE
CheckPeople.com,https://checkpeople.com/do-not-sell-info,"Use the opt out form and fill out the information as it apears on your listing. Find your listing and click ""Opt out.""",FALSE
CheckThem.com,https://www.checkthem.com/optout/,"Use the opt out form and fill out the informaion. Find the matching result and click ""Choose"" for profile deletion.",FALSE
CIAdata,legal@CIAdata.com ,Email legal@CIAdata.com with the basic opt-out form with “Removal” in the subject line.,FALSE
City-Data.com,https://www.city-data.com/,"Find your own listing, and press blue link “Request disassociating your name from street-level assessment address”. Fill out form. ",FALSE
ClassFinders.com,https://www.classfinders.com/name_removal.php ,Use the opt out form to complete the removal process.,FALSE
classmates.com,,,FALSE
ClustrMaps.com,https://clustrmaps.com/bl/opt-out,Use the opt out form to complete the removal process.,FALSE
confidentialphonelookup.com,https://www.confidentialphonelookup.com/contact/,Send message through contact form requesting removal.,FALSE
ContactOut.com,support@contactout.com ,Email support@contactout.com with “Removal” as the subject.,FALSE
ContractorsCalifornia.org,,,FALSE
councilon.com,https://councilon.com/ex/control/privacy,"Enter your first and last name city and state and find your profile if it exists. If it does, submit opt out form for profile removal.",FALSE
courtcasefinder.com,https://courtcasefinder.com/optout,Use the opt-out (Remove Your Information) Form to complete the removal process.,FALSE
CourtRecords.org,https://members.courtrecords.org/customer/opt-out,Fill out Remove Your Information/Opt out form to opt out.,FALSE
CourtRegistry.org,,,FALSE
CorporationWiki.com,https://www.corporationwiki.com/profiles/public,Use the Opt-out Request Form to complete the removal process.,FALSE
Criminal-Records.org,,,FALSE
CriminalPages.com,,,FALSE
cubib.com,https://cubib.com,"Search for yourself on cubib, find your own listing(s) and click ""opt out"". Follow the instructions or removal including listing the information you want removed as it appears in your listing. ",FALSE
CyberBackgroundChecks.com,,,FALSE
DeathRecords.org,,,FALSE
DentistsCalifornia.org,,,FALSE
dex-knows.com (Whitepages),https://www.whitepages.com/suppression_requests,"Dex-knows is owned by whitepages, so removing yourself from whitepages will remove you from Dex-knows. To remove yourself from whitepages, search for yourself, click ""View Details"" on your listing and copy the URL of your page. Enter this URL into the Whitepages opt out form https://www.whitepages.com/suppression_requests.",FALSE
DirectMail.com,,,FALSE
DMAChoice.org,,,FALSE
DOBSearch.com,https://www.dobsearch.com/,"Search for your own name and select the listing that belongs to you. Scroll down and click ""Manage my Listings"" and follow the instructions provided for removal.",FALSE
DoNotCall.gov,,,FALSE
easybackgrounds.com,1-800-538-6525,"EasyBackgrounds.com cannot remove your information from their site, as they collect information from other databases and public records. You may try contacting them at 1-800-538-6525.",FALSE
EasyBackgroundChecks.com (Intelius),https://intelius.com/optout,"Go to the opt out link and search for your listing. If it exists, click ""select and continue"" next to your profile and enter a throwaway email address to verify your opt-out request and request removal.",FALSE
EmailFinder.com,,,FALSE
EmailTracer.com,,,FALSE
Epsilon - Abacus,,,FALSE
Epsilon - CFD,,,FALSE
Epsilon - Main,,,FALSE
Epsilon - Shopper,,,FALSE
Everyone-Records.com,,,FALSE
FamilySearch.org,,,FALSE
FamilyTreeNow.com,,,FALSE
fastbackgroundcheck.com,https://www.fastbackgroundcheck.com/opt-out,"Use the opt out link to search for your own listing and click ""Remove my record"" after clicking on the matching result.",FALSE
FastPeopleSearch.com,https://www.fastpeoplesearch.com/removal,"Use the out tool to find your own listing. On your own listing click ""view free details"" and then click ""remove my record.""",FALSE
FindLocalPeople.com,https://www.findlocalpeople.com/people-locator/change-listing.html,Find your own listing and click on it. Copy and paste this URL into the opt out form.,FALSE
FindPeopleSearch.com,https://www.findpeoplesearch.com/customerservice/,Use the opt out form to remove your listing.,FALSE
findrec.com,https://www.findrec.com/ng/control/privacy,Use the opt out tool to remove your listing.,FALSE
FireArmsCalifornia.org,,,FALSE
FloridaProfilePages.com,,,FALSE
FloridaResidentsDirectory.com,,,FALSE
FLVoters.com,,,FALSE
FreeBackgroundCheck.us,,,FALSE
freecellsearch.com,,,FALSE
FreePeopleDirectory.com,,,FALSE
FreePhoneTracer.com,support@numberguru.com,,FALSE
FullNameDirectory.com,,,FALSE
gladiknow.com,https://www.gladiknow.com/opt-out,Using the opt out link search for your own listing. Click 'Select + View Details' on the matching listing. Scroll down the page to find the ‘Important Records’ section. Click the ‘OPT OUT/REMOVE MY DATA’ link in the bottom right corner.,FALSE
GoLookup.com,https://www.golookup.com/support/optout,,FALSE
GovBackgroundChecks.com,,,FALSE
GovernmentRegistry.org,,,FALSE
GovRegistry.us,,,FALSE
grey-pages.com,,,FALSE
Hauziz.com,,,FALSE
Homemetry.com,,,FALSE
HPCC-USA.org,,,FALSE
IdentityPi.com,,,FALSE
IDStrong.com,,,FALSE
IDTrue.com,,,FALSE
Inflection.com,,,FALSE
InfoGroup.com,,,FALSE
InfoPay.com,,,FALSE
InfoRegistry.com,https://infotracer.com/optout/,,FALSE
InfoSpace.com,,,FALSE
InfoTracer.com,https://infotracer.com/optout/,,FALSE
InstantCheckmate.com,,,FALSE
InstantPeopleFinder.com,,,FALSE
Inteligator.com,,,FALSE
Intelius.com,,,FALSE
IntelRegistry.com,,,FALSE
kccllc.net,,,FALSE
KiwiSearches.com,,,FALSE
LeadFerret.com,,,FALSE
LexisNexis.com,,,FALSE
LocateFamily.com,,,FALSE
MarriageRecords.com,,,FALSE
MashPanel.com,,,FALSE
MelissaData.com,unsubscribe@melissa.com ,"Opt out of email marketing, direct mail marketing, or address listing on the website by contacting via email address unsubscribe@melissa.com",FALSE
MillionPhone.ne,,,FALSE
MyHeritage.com,,,FALSE
MyLife.com,https://www.mylife.com/ccpa/index.pubview or privacy@mylife.com,Use the opt out form to opt out of sale of personal information or email privacy@mylife.com to remove your listing.,FALSE
namesandfacts.com,,,FALSE
NDB.com,,,FALSE
neighborwho.com,,,FALSE
Neighbor.Report,,,FALSE
NewEnglandFacts.com,,,FALSE
NJParcels.com,,,FALSE
NorthCarolinaResidentDatabase.com,,,FALSE
NotariesCalifornia.com,,,FALSE
Number2Name.com,,,FALSE
Nuwber.com,,,FALSE
OKCaller.com,,,FALSE
Old-Friends.co,,,FALSE
OldPhoneBook.com,,,FALSE
OnlineSearches.com,,,FALSE
Open-Public-Records.com,,,FALSE
OptOutPreScreen.com,,,FALSE
PCH.com (Publisher's Clearing House),,,FALSE
PeekYou.com,,,FALSE
People-Background-Check.com,,,FALSE
People-Search.org,,,FALSE
People.YellowPages.com,,,FALSE
PeopleByName.com,http://www.peoplebyname.com/remove.php,,FALSE
peoplebyphone.com,https://www.peoplebyphone.com/remove-me/,,FALSE
PeopleFinder.com,,,FALSE
PeopleFinders.com,,,FALSE
PeopleLooker.com,https://www.beenverified.com/app/optout/search,Search for your own listing using the opt out tool. If it exists click on it to remove.,FALSE
PeopleLookUp.com (USSearch),https://www.ussearch.com/opt-out/submit/,"Search for your own listing using the opt out tool. If it exists click ""remove this record"" on your listing to remove.",FALSE
people-search.org,https://www.people-search.org/,Search for your name under the name search directory. Click on the 'request removal' link on your listing and enter information exactly as it appears in your listing. ,FALSE
PeopleSearchExpert.com,,,FALSE
PeopleSearchNow.com,,,FALSE
PeopleSmart.com,,,FALSE
PeopleSpy.com,,,FALSE
PeopleVerified.com,,,FALSE
PeopleWhiz.com,,,FALSE
Persopo.com,support@persopo.com,"Search for your own records. If they exist contact support@persopo.com with ""Opt out"" as the subject and your information as it appears in the listing. ",FALSE
PhoneBook.com,,,FALSE
PhoneBooks.com,,,FALSE
PhoneDetective.com,,,FALSE
PhoneOwner.com,https://phoneowner.us/page/contact,"Use the contact form with URL of listing if it exists. Since Phoneowner.com is an affiliate website of Radaris.com, you need to also remove records from Radaris as well. Radaris records can be via the form on https://radaris.com/control/privacy. ",FALSE
PhoneRegistry.com,,,FALSE
pingpdf.com ** | Email,,,FALSE
ppl.pe,https://www.publicdatausa.com/optout.php,Search for own records. If it exists then fill out the opt out form for profile removal.,FALSE
Premium.WhitePages.com,,,FALSE
PrivateEye.com,,,FALSE
privatenumberchecker.com,,,FALSE
PropertyShark.com,,,FALSE
pub360.com,,,FALSE
PublicInfoServices.com,,,FALSE
PublicRecords.Directory,https://publicrecords.directory/contact.php,Type “site:publicrecords.directory [your name]” into Google to find your listing. Copy the URL of your listing into the contact form and request to remove your information.,FALSE
PublicRecords360.com,http://www.publicrecords360.com/optout.html ,Search for your own listing first and copy the URL. Paste it into the opt out form and follow instructions to remove.,FALSE
PublicRecordsNow.com,,,FALSE
PublicSeek.com,privacy@publicseek.com; support@publicseek.com ,Search for your own records to see if they exist. If they do email privacy@publicseek.com and support@publicseek.com with “Removal” as the subject.,FALSE
Radaris.com,https://radaris.com/control/privacy,"Search for your own records. Click ""Full Profile"" if you find your listing. If they exist use the opt out form and paste the URL of your listing.",FALSE
Records-Index.com,,,FALSE
RecordsAuthority.com,,,FALSE
RecordsFinder.com,https://recordsfinder.com/optout/,"Use the opt out form and fill out the information to search. If your listing exists, check the ""Select Record"" box and click the ""Remove Data"" button.",FALSE
Rehold.com,,,FALSE
Reunion.com,,,FALSE
RevealName.com,https://www.revealname.com/opt_out,Search for your own records via Name lookup. If they exist use the opt out form.,FALSE
ReverseMobile.com (Infotracer),https://infotracer.com/optout/,"Reverse Mobile is owned by InfoTracer, so removing yourself from InfoTracer will remove you from Reverse Mobile. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
ReversePhoneCheck.com (Infotracer),https://infotracer.com/optout/,"Reverse Phone Check is owned by InfoTracer, so removing yourself from InfoTracer will remove you from Reverse Phone Check. Search for your listing using the opt out tool and select ""Remove my Data"" next to your record.",FALSE
ReversePhoneLookUp.com,https://www.reversephonelookup.com/remove.php,Search for your own records. If they exist use the opt out form.,FALSE
SalesSpider.com,,,FALSE
SearchBug.com,https://www.searchbug.com,"Go to searchbug and search for your listing. Find your results and click on them. At the top of your listing, click ""Remove"".",FALSE
searchpeoplefree.com ,https://www.searchpeoplefree.com/opt-out,Search for your own records. If they exist use the opt out form.,FALSE
searchpublicrecords.com,https://www.searchpublicrecords.com/help-center/remove-my-public-record,Search for your own records. If they exist use the opt out form.,FALSE
SearchQuarry.com,https://www.searchquarry.com/opt-out/,"Enter your first name, last name, city and state as they appear into the listing in the opt out form.",FALSE
SmartBackgroundChecks.com,https://www.smartbackgroundchecks.com/optout,"Use the ""search features"" link to search for yourself (enter name and location and click ""search""). Find your listing and click on ""Click for more details"". Click ""Request for my Record to be Removed"".",FALSE
SocialCatFish.com,https://socialcatfish.com/opt-out/,"Go to https://socialcatfish.com/ and search for yourself. Right click ""See Full Result"" orange button and cilck ""Copy Link Address."" Copy the url of your listing into the opt out form.",FALSE
Spokeo.com,https://www.spokeo.com/optout,Search for your own listing on spokeo.com. Find your listing and click on it to see your profile. Copy the url of your profile into the opt-out form at spokeo.com/optout,FALSE
SpyDialer.com,https://www.spydialer.com/optout.aspx,Use opt out form to remove the information as it appears on your listing.,FALSE
SpyFly.com,support@spyfly.com,"If your profile exists you will need to email support@spyfly.com. The email must contain the following information as it appears on the website: Your first and last name; your age; current address as shown  (City, State and Zip Code) and previous addresses (City, State and Zip Code).",FALSE
Spytox.com,https://www.spytox.com/opt_out,"Search for your own listing. If it exists copy and paste the URL into the opt out form and click ""Remove my info.""",FALSE
StateRecords.org (Infotracer),https://infotracer.com/optout/,StateRecords is run by Infotracer. Complete the Infotracer opt out form at https://infotracer.com/optout/,FALSE
SuperPages (whitepages),https://www.whitepages.com/suppression_requests,"Superpages is run by whitepages. To opt out, use the whitepages opt out form at https://www.whitepages.com/suppression_requests",FALSE
Sync.me,https://sync.me/optout/,Remove yourinformation via the opt out form.,FALSE
TelephoneDirectories.us,https://www.telephonedirectories.us/Edit_Records,Search for yourself using the People Search. If your information exists complete the opt out form.,FALSE
TennHelp.com,https://www.tennhelp.com/public-resources/change-listing.html,Search for yourself using the People Finder. If your information exists complete the opt out form.,FALSE
ThatsThem.com,https://thatsthem.com/optout,Search for yourself by name phone and address. If your information exists complete opt out form.,FALSE
TheIdentityPages.com,,,FALSE
thepublicrecords.com (People Finders),https://www.peoplefinders.com/manage,"The public records is owned by People Finders. Removing yourself from PeopleFinders will remove you from The Public Records. Use the link to find your own listing and click ""This is me."" Click on ""opt out my info"" to opt out.",FALSE
TowerData.com,,,FALSE
TrueCaller.com,https://www.truecaller.com/unlisting,"Search for your phone number. If a record is found, use the link to remove it from the site.",FALSE
TruePeopleSearch.com,https://www.truepeoplesearch.com/removal,"Search for your own record using the removal/opt out link. Click ""View All Details"" and scroll down to ""Remove this Record"" if it exists.",FALSE
TruePeopleSearch.net,https://truepeoplesearch.net/removal,"Search for your own record using the removal/opt out link. Click ""View All Details"" and scroll down to ""Remove this Record"" if it exists.",FALSE
TrueRep.com,,,FALSE
trustifo.com,https://www.trustifo.com/,Search for your own listing using the opt out tool. If it exists enter the URL into the opt out tool with the information as it appears in your listing ,FALSE
Trustoria.com,https://www.trustoria.com/page/contact,Does not have a functioning opt-out process in place at this time. Use the contact form.,FALSE
TruthFinder.com,https://www.truthfinder.com/opt-out/,"Search for your own profile. If it exists, click on the green ""Remove this Record"" on your profile.",FALSE
UFind.name,support@ufind.name,"Email support@ufind.name with “Removal” as the subject. There is a history of unanswered removal requests with this email. If the information still isn't removed, mail the web host abuse@key-systems.net; abuse@key-systems.net; and abuse@moniker.com with the web host removal form.",FALSE
UnitedStatesPhoneBook.com,http://www.unitedstatesphonebook.com/contact.php,,FALSE
UsSearch.com,https://www.ussearch.com/opt-out/submit/,Search for your own profile. If it exists complete opt out form.,FALSE
USPhonebook.com,https://www.usphonebook.com/opt-out,Search for your own profile. If it exists complete opt out form.,FALSE
USA-People-Search.com,https://www.usa-people-search.com/manage/,Search for your own profile. If it exists the removal process can be done using the opt-out form.,FALSE
USABackground.com,support@usabackground.com,"A direct request must be emailed to support@usabackground.com. Attach  a scan copy of driver license or ID card. Be sure to block out your ID number, photo, and signature. Request that your information be removed from their database.
",FALSE
USAProfilePages.com,,,FALSE
usareversephone.com,https://usareversephone.com/optout/index,"Search for your own number. If it exists, remove using the opt out form.",FALSE
UserSearch.org,support@usersearch.org,Find your own information using the website's search tool.  Email support@usersearch.org listing the data you would like removed stating you want to exercise your “Right to Erase” or “Right to restrict our use of your Data”.,
usphonenumberformat.com,,,FALSE
ValidNumber.com,https://validnumber.com/doc/contact/,Search for your own phone number. If a listing exists use the contact form for profile removal.,
ValPak.com,,,FALSE
verecor.com,,,FALSE
vericora.com,,,FALSE
veriforia.com,https://veriforia.com/ng/control/privacy,"Enter your full name, specify your city and state, and click the 'Search' button. Find the matching result and click the 'View profile' button.
Copy the URL of your profile and fill out the opt out form with this information.",FALSE
VeriPages.com,support@veripages.com,Search for your name and location. Copy the URL of the page that lists your information and request to opt-out via email at support@veripages.com.,FALSE
VeriSpy.com,https://www.dataaccessmanagement.com/verispy/ ,"Fill out opt out form with information as it appears in your listing. If no information on you exists, make up fake information. Send the PDF genearted from the opt out form as well as a copy of your state-issued ID to optouts@dataaccessmanagement.com. Be sure to block out your photo signature and ID number.",FALSE
Veromi.com,Mail,"Search for your own listing and see if it exists. If it does mail the following information to Veromi: First Middle and Last Name; Nicknames and aliases; your address; your date of birth; and a printout of your listing. Mail to: Veromi Optout Request
15260 Ventura Blvd 20th FI.
Sherman Oaks CA 91403",FALSE
VoterRecords.com,https://voterrecords.com/faq,Follow the directions in the FAQ.,FALSE
whatareusaphonenumbers.com,removephonenumber@yeah.net,,FALSE
WhitePages.com,https://www.whitepages.com/suppression_requests,,FALSE
whoiscallingmefromthisnumber.com,,,FALSE
Wyty.com,https://www.wyty.com/remove/,Search for your own profile and fill out the profile removal form. Fill out removal form with exactly the same information that appears in the listing.,FALSE
Xlek.com,https://www.xlek.com/optout.php,"Enter your first and last name, select your state and click ‘Get started’. Click on your profile if it exists and click Opt-out",FALSE
Yasni.com,None,There is no direct removal option available.  This website will identify the source of the information for you to pursue for opt-out or removal.,
yellowbook.com,https://www.yellowbook.com/,Search for your own proifle on yellowbook.com. Email privacy.officerus@hibu.com using a basic opt out form and URL of your profile.,FALSE
yellowpages.com (Intelius),https://www.yellowpages.com/,Yellowpages is owned by intelius. Also complete the Intelius opt out form at http://intelius.com/optout. On he yellowpages website itself you may search and select your profile and choose “Remove Listing” to remove your profile.,
zabasearch.com (Intelius),http://intelius.com/optout,"Zabasearch is owned by Intelius, so if you opt out of Intelius you will opt out of Zabasearch as well. Search for your own listing. If it exists, click ""Select and Continue"" and enter in a throwaway email address to complete profile deletion.",FALSE
Zlookup.com,https://www.zlookup.com/opt_out,"Search for own listing. If it exists, enter the full phone number in the opt out form to opt out.",FALSE
ZoomInfo,https://www.zoominfo.com/,Search for your own listing and then click “Is this you?” on yourprofile.  Signup and delete desired details.,FALSE
Zosearch.com,https://zosearch.com/opt-out/,Search  for your own profile. If it exists select your profile and choose “Remove Listing”.,FALSE
